run,year,electricity
1,2015,1052092.732
1,2020,1110311.76425
1,2025,1158421.28307999
1,2030,1210640.82995
1,2035,1252895.47159999
1,2040,1310111.94462999
1,2045,1372187.776253
1,2050,1430665.31651
2,2015,1052092.732
2,2020,1110071.06985
2,2025,1158133.58871
2,2030,1210318.0850799999
2,2035,1252537.5145
2,2040,1309723.18747
2,2045,1371748.70854499
2,2050,1430248.60846
3,2015,1052092.732
3,2020,1110549.58731
3,2025,1158699.68782999
3,2030,1210951.27792
3,2035,1253235.14222
3,2040,1310457.58067
3,2045,1372577.173992
3,2050,1431026.45984
4,2015,1052092.732
4,2020,1109949.29629
4,2025,1157895.08195
4,2030,1209981.95066
4,2035,1252105.3894499901
4,2040,1309213.86955
4,2045,1371163.5520779998
4,2050,1429613.13641999
5,2015,1052092.732
5,2020,1110432.1187099998
5,2025,1158535.74476
5,2030,1210696.203
5,2035,1252899.4642699999
5,2040,1310081.09153
5,2045,1372149.787733
5,2050,1430551.9284899898
6,2015,1052092.732
6,2020,1109344.79614
6,2025,1157866.8701099998
6,2030,1210255.7673299902
6,2035,1252691.19575
6,2040,1310092.20213999
6,2045,1372288.847531
6,2050,1430915.58683999
7,2015,1052092.732
7,2020,1110669.60358999
7,2025,1158889.49914
7,2030,1211233.70012999
7,2035,1253603.60155
7,2040,1310854.9252499898
7,2045,1372981.389348
7,2050,1431436.00126
8,2015,1052092.732
8,2020,1110489.93561
8,2025,1158701.95996
8,2030,1211061.00306
8,2035,1253443.60269
8,2040,1310728.0769199901
8,2045,1372868.780458
8,2050,1431392.39126
9,2015,1052092.732
9,2020,1110010.1711799998
9,2025,1157919.95948
9,2030,1209902.46137
9,2035,1251925.38212
9,2040,1309000.45660999
9,2045,1370985.09409699
9,2050,1429402.73529999
10,2015,1052092.732
10,2020,1110734.5374999999
10,2025,1159181.2243899999
10,2030,1211735.72128999
10,2035,1254311.48
10,2040,1311754.18994999
10,2045,1374041.7947779899
10,2050,1432668.90702
11,2015,1052092.732
11,2020,1110250.8685100002
11,2025,1158305.4454899998
11,2030,1210474.80156
11,2035,1252684.24275
11,2040,1309838.7873799899
