run,year,electricity
1,2015,327485.0
1,2020,312944.0
1,2025,377622.6
1,2030,459818.4
1,2035,528988.6
1,2040,590164.2999999999
1,2045,643674.8
1,2050,699645.2
2,2015,327485.0
2,2020,312942.0
2,2025,378422.999999999
2,2030,460910.5
2,2035,530357.699999999
2,2040,591672.4
2,2045,645274.2999999999
2,2050,701429.9
3,2015,327485.0
3,2020,312947.0
3,2025,377926.3
3,2030,460011.4
3,2035,529076.399999999
3,2040,590287.1
3,2045,643960.8999999999
3,2050,699891.2000000001
4,2015,327485.0
4,2020,312941.0
4,2025,378035.2
4,2030,460380.30000000005
4,2035,529721.2999999999
4,2040,590820.5
4,2045,644267.2999999999
4,2050,700243.1
5,2015,327485.0
5,2020,312945.0
5,2025,378483.09999999905
5,2030,460574.5
5,2035,529676.3
5,2040,590983.2000000001
5,2045,644689.6
5,2050,700498.8999999991
6,2015,327485.0
6,2020,312934.0
6,2025,378411.1
6,2030,460976.999999999
6,2035,530429.7
6,2040,591994.1
6,2045,645926.199999999
6,2050,702428.0
7,2015,327485.0
7,2020,312947.0
7,2025,377746.9
7,2030,459872.10000000003
7,2035,528986.1
7,2040,590045.7999999999
7,2045,643502.9
7,2050,699365.7
8,2015,327485.0
8,2020,312946.0
8,2025,377872.5
8,2030,460230.0
8,2035,529542.9
8,2040,590823.8
8,2045,644391.3999999999
8,2050,700522.1000000001
9,2015,327485.0
9,2020,312941.0
9,2025,378384.2
9,2030,460505.80000000005
9,2035,529583.7
9,2040,590831.9
9,2045,644689.9
9,2050,700696.7
10,2015,327485.0
10,2020,312948.0
10,2025,378645.299999999
10,2030,461289.0
10,2035,530829.0
10,2040,592560.6
10,2045,646420.8
10,2050,702927.0
11,2015,327485.0
11,2020,312942.999999999
11,2025,378082.8
11,2030,460315.8
11,2035,529561.1
11,2040,590639.8
11,2045,644111.7
11,2050,699991.5
12,2015,327000.0
12,2020,313000.0
12,2025,378000.0
12,2030,461000.0
12,2035,530000.0
12,2040,591000.0
12,2045,645000.0
12,2050,701000.0
13,2015,327485.0
13,2020,312940.0
13,2025,378387.7
13,2030,460586.799999999
13,2035,529833.9
13,2040,590868.5
13,2045,644340.6000000001
13,2050,700094.8999999999
14,2015,327485.0
14,2020,312948.0
14,2025,378239.4
14,2030,460580.9
14,2035,529905.7999999999
14,2040,591156.9999999991
14,2045,644741.6
14,2050,700797.7
15,2015,327485.0
15,2020,312942.999999999
15,2025,377681.999999999
15,2030,459590.99999999895
15,2035,528495.3999999999
15,2040,589530.9
15,2045,643133.299999999
15,2050,698871.699999999
16,2015,327485.0
16,2020,312942.999999999
16,2025,377774.2
16,2030,460014.5
16,2035,529189.7
16,2040,590468.399999999
16,2045,644111.099999999
16,2050,700208.5
17,2015,327485.0
17,2020,312948.0
17,2025,378177.2
17,2030,460139.5
17,2035,529165.9
17,2040,590108.4
17,2045,643553.5
17,2050,699134.999999999
18,2015,327485.0
18,2020,312940.0
18,2025,378531.10000000003
18,2030,461062.5
18,2035,530535.299999999
18,2040,592034.7999999999
18,2045,645773.3999999991
18,2050,702035.4
19,2015,327485.0
19,2020,312945.0
19,2025,378067.599999999
19,2030,460204.3
19,2035,529290.0
19,2040,590521.3
19,2045,644352.899999999
19,2050,700451.3999999999
20,2015,327485.0
20,2020,312942.0
20,2025,378197.499999999
20,2030,460741.5
20,2035,530224.0999999989
20,2040,591607.5
20,2045,645227.2999999999
20,2050,701499.3
21,2015,327485.0
21,2020,312947.0
21,2025,378619.2
21,2030,460920.299999999
21,2035,530156.1
21,2040,591576.5
21,2045,645473.7999999999
21,2050,701671.7999999999
22,2015,327485.0
22,2020,312940.0
22,2025,378431.8
22,2030,460872.10000000003
22,2035,530248.7999999999
22,2040,591738.3
22,2045,645484.2
22,2050,701672.0
23,2015,327485.0
23,2020,312942.999999999
23,2025,377774.3
23,2030,460015.7
23,2035,529191.8
23,2040,590467.4
23,2045,644111.099999999
23,2050,700208.5
24,2015,327485.0
24,2020,312947.0
24,2025,377818.9
24,2030,460254.89999999903
24,2035,529656.2999999999
24,2040,590811.5
24,2045,644265.0
24,2050,700419.799999999
25,2015,327485.0
25,2020,312942.999999999
25,2025,378339.6
25,2030,460561.7
25,2035,529762.1
25,2040,591128.1000000001
25,2045,644852.0
25,2050,700835.6
26,2015,327485.0
26,2020,312945.0
26,2025,378614.2
26,2030,461052.39999999997
26,2035,530403.3
26,2040,591917.5
26,2045,645892.9
26,2050,702275.7
27,2015,327485.0
27,2020,312941.0
27,2025,378029.89999999997
27,2030,460016.3
27,2035,529029.0
27,2040,590045.1
27,2045,643524.8999999999
27,2050,699147.2
28,2015,327485.0
28,2020,312949.0
28,2025,378028.39999999997
28,2030,460437.5
28,2035,529759.7
28,2040,591195.7
28,2045,644981.4
28,2050,701328.5
29,2015,327485.0
29,2020,312944.0
29,2025,378378.2
29,2030,460513.2
29,2035,529680.199999999
29,2040,590788.2
29,2045,644329.899999999
29,2050,700087.9999999991
30,2015,327485.0
30,2020,312946.0
30,2025,378220.9
30,2030,460787.59999999905
30,2035,530306.9
30,2040,591522.8999999999
30,2045,645019.799999999
30,2050,701259.1
31,2015,327485.0
31,2020,312941.0
31,2025,377661.6
31,2030,459845.89999999997
31,2035,529006.4
31,2040,590194.4
31,2045,643718.0
31,2050,699662.9
32,2015,327485.0
32,2020,312945.0
32,2025,377685.1
32,2030,460031.999999999
32,2035,529346.1000000001
32,2040,590506.4
32,2045,643967.0
32,2050,700049.799999999
33,2015,327485.0
33,2020,312940.0
33,2025,378244.3
33,2030,460374.10000000003
33,2035,529481.299999999
33,2040,590747.0
33,2045,644505.7
33,2050,700446.2999999999
34,2015,327485.0
34,2020,312948.0
34,2025,378528.0
34,2030,461179.199999999
34,2035,530734.9
34,2040,592358.3999999999
34,2045,646162.9
34,2050,702625.5
35,2015,327485.0
35,2020,312942.999999999
35,2025,377918.899999999
35,2030,460139.3
35,2035,529375.1
35,2040,590329.6
35,2045,643694.6
35,2050,699531.8
36,2015,327485.0
36,2020,312946.0
36,2025,378186.6
36,2030,460712.4
36,2035,530142.2999999999
36,2040,591679.4
36,2045,645452.5
36,2050,701837.0
37,2015,327485.0
37,2020,312941.0
37,2025,378493.6
37,2030,460739.2
37,2035,530005.3999999999
37,2040,591133.0
37,2045,644669.3999999999
37,2050,700509.199999999
38,2015,327485.0
38,2020,312948.0
38,2025,378353.7
38,2030,460730.7
38,2035,530058.3999999991
38,2040,591396.9
38,2045,645044.3999999999
38,2050,701175.0
39,2015,327485.0
39,2020,312942.999999999
39,2025,377839.599999999
39,2030,459809.6
39,2035,528760.7
39,2040,589854.2
39,2045,643575.199999999
39,2050,699447.2000000001
40,2015,327485.0
40,2020,312940.0
40,2025,378014.39999999997
40,2030,460544.8
40,2035,529945.9
40,2040,591414.7
40,2045,645245.3
40,2050,701727.4
41,2015,327485.0
41,2020,312945.0
41,2025,378376.3
41,2030,460646.5
41,2035,529917.3
41,2040,591168.7
41,2045,644785.699999999
41,2050,700749.7999999999
42,2015,327485.0
42,2020,312942.999999999
42,2025,378571.5
42,2030,461038.59999999905
42,2035,530499.3999999999
42,2040,591760.3
42,2045,645345.5
42,2050,701439.2000000001
43,2015,327485.0
43,2020,312948.0
43,2025,378146.0
43,2030,460208.0
43,2035,529273.5
43,2040,590504.8
43,2045,644134.1000000001
43,2050,699949.4
44,2015,327485.0
44,2020,312938.999999999
44,2025,378022.6
44,2030,460313.6
44,2035,529603.7999999999
44,2040,590739.4
44,2045,644226.1
44,2050,700169.2000000001
45,2015,327485.0
45,2020,312944.0
45,2025,378472.3
45,2030,460493.89999999903
45,2035,529509.5
45,2040,590728.799999999
45,2045,644460.599999999
45,2050,700241.9
46,2015,327485.0
46,2020,312942.0
46,2025,378403.9
46,2030,460935.6
46,2035,530345.7000000001
